pose_id,x_nose,y_nose,z_nose,x_left_eye_inner,y_left_eye_inner,z_left_eye_inner,x_left_eye,y_left_eye,z_left_eye,x_left_eye_outer,y_left_eye_outer,z_left_eye_outer,x_right_eye_inner,y_right_eye_inner,z_right_eye_inner,x_right_eye,y_right_eye,z_right_eye,x_right_eye_outer,y_right_eye_outer,z_right_eye_outer,x_left_ear,y_left_ear,z_left_ear,x_right_ear,y_right_ear,z_right_ear,x_mouth_left,y_mouth_left,z_mouth_left,x_mouth_right,y_mouth_right,z_mouth_right,x_left_shoulder,y_left_shoulder,z_left_shoulder,x_right_shoulder,y_right_shoulder,z_right_shoulder,x_left_elbow,y_left_elbow,z_left_elbow,x_right_elbow,y_right_elbow,z_right_elbow,x_left_wrist,y_left_wrist,z_left_wrist,x_right_wrist,y_right_wrist,z_right_wrist,x_left_pinky_1,y_left_pinky_1,z_left_pinky_1,x_right_pinky_1,y_right_pinky_1,z_right_pinky_1,x_left_index_1,y_left_index_1,z_left_index_1,x_right_index_1,y_right_index_1,z_right_index_1,x_left_thumb_2,y_left_thumb_2,z_left_thumb_2,x_right_thumb_2,y_right_thumb_2,z_right_thumb_2,x_left_hip,y_left_hip,z_left_hip,x_right_hip,y_right_hip,z_right_hip,x_left_knee,y_left_knee,z_left_knee,x_right_knee,y_right_knee,z_right_knee,x_left_ankle,y_left_ankle,z_left_ankle,x_right_ankle,y_right_ankle,z_right_ankle,x_left_heel,y_left_heel,z_left_heel,x_right_heel,y_right_heel,z_right_heel,x_left_foot_index,y_left_foot_index,z_left_foot_index,x_right_foot_index,y_right_foot_index,z_right_foot_index,pose
659,pushups_down,3.2003958,83.51044,-150.64198,5.2924013,80.62999,-159.14293,6.7400374,79.56045,-159.15569,8.174375,77.76981,-159.20248,0.50800306,80.19409,-158.6741,-1.3919946,78.750435,-158.70296,-3.2119339,77.23911,-158.70612,10.991779,67.718,-158.70526,-7.058705,66.65648,-156.92558,5.7876887,80.69322,-145.4341,-0.2430626,80.070114,-144.8646,23.32795,40.40511,-132.43524,-20.694412,39.55155,-133.15482,44.77395,19.05266,-102.699684,-43.345222,25.366125,-99.96333,45.708157,70.35138,-93.57578,-42.82617,68.27454,-87.287506,51.38101,78.18133,-104.21325,-48.54626,75.933014,-96.97803,47.210495,77.69129,-105.80168,-46.17403,77.09456,-99.3192,44.739,74.32515,-94.12382,-43.548645,74.26888,-87.765656,8.501212,1.4240999,-0.96114755,-8.501202,-1.4240794,0.96114755,8.085614,-8.897184,108.82921,-8.956931,-9.371762,113.04165,6.693261,-24.469141,236.09883,-9.041085,-25.54433,241.63225,6.4771547,-30.76213,251.49193,-8.042053,-31.597647,256.9855,4.678776,-7.875343,267.16772,-8.543862,-7.613607,271.63455
660,pushups_down,3.6117296,83.209755,-186.58893,4.7242346,79.55383,-198.54053,5.818887,79.025696,-198.53645,8.913429,77.56444,-198.55557,0.7067012,81.047905,-199.23904,-0.84418833,79.94214,-199.25642,-2.449372,78.656944,-199.23167,8.988181,67.727196,-202.06023,-5.8163238,69.501495,-205.34169,4.416479,73.22725,-181.07281,1.030863,72.91611,-182.02995,22.24245,39.131733,-171.31184,-19.86743,40.832985,-173.99094,42.15705,22.498508,-131.00188,-43.63241,36.646564,-127.7515,48.079727,65.79431,-121.19079,-43.945587,73.05407,-109.08265,52.031624,77.79054,-137.58769,-48.33339,79.79411,-123.55667,50.216217,82.159195,-140.46184,-46.583714,80.818886,-127.41684,48.216675,78.32074,-122.726166,-43.97303,78.606285,-110.14892,8.538877,0.111964785,-0.888746,-8.538877,-0.111985885,0.888746,7.2628555,-12.859766,144.01608,-9.704135,-11.0450325,148.52196,7.8999534,-26.076189,301.80237,-11.22007,-27.400648,307.50293,7.217308,-34.100685,320.88483,-10.411005,-35.186325,325.9718,6.6923647,-8.097569,338.3206,-10.695232,-10.6411495,340.25012
661,pushups_down,-51.674007,6.761852,-6.694558,-53.53509,3.1527147,-12.331046,-53.488003,2.49573,-12.33945,-53.457355,1.8329723,-12.349467,-53.611893,3.1838217,-4.385848,-53.624905,2.57645,-4.384959,-53.667103,1.9284179,-4.3985825,-51.538044,-3.1690373,-25.122843,-51.927704,-3.149916,10.178417,-49.066967,5.8517613,-10.230864,-49.16722,6.056602,-0.014096979,-38.092033,-9.365233,-39.57984,-38.535328,-13.618445,34.201443,-17.673632,-14.473473,-59.583294,-20.271006,-17.964659,52.348404,-22.629925,15.108713,-62.820644,-24.731607,6.7578807,54.211227,-26.628143,18.908888,-68.56587,-28.72109,7.64378,56.109123,-28.345865,16.582525,-62.010807,-28.989569,8.687031,50.959778,-27.484575,15.56118,-59.911854,-27.831074,8.918818,51.75616,0.725514,2.2476208,-25.06983,-0.72552127,-2.2476354,25.06983,30.001991,7.706507,-13.93728,27.501587,5.800126,31.457542,56.750153,-1.6302854,-1.4843556,51.85996,-2.9231846,46.093575,63.45943,-7.248795,-0.6528579,58.029568,-7.9424253,46.844543,58.357136,18.271772,-14.846756,54.290043,14.974644,37.22582
662,pushups_down,7.565488,70.64417,-272.7,11.533144,67.499855,-294.85486,12.979317,67.25531,-294.8447,14.475916,67.10537,-294.92084,7.5164566,66.33316,-291.8601,6.3095584,65.62035,-291.8708,5.1560106,65.03744,-291.86417,17.143097,56.99982,-309.68622,2.6859717,55.648243,-296.6756,7.846089,66.132706,-267.004,4.571796,64.919205,-263.30612,21.528067,22.31586,-238.4035,-22.568884,28.106892,-251.7114,39.60124,-8.19645,-209.72281,-59.4287,26.77946,-232.21156,57.935696,30.895624,-216.90424,-72.92337,52.2105,-248.3834,59.582638,37.696938,-237.36212,-77.31703,63.419827,-270.4462,53.37354,40.989246,-244.64561,-71.9228,63.02784,-278.30444,54.51464,47.437077,-221.57178,-69.62577,59.49788,-252.88203,9.26299,-7.875754,0.40046093,-9.26299,7.875721,-0.40046093,10.615815,-59.26178,149.81895,-21.996052,-18.686296,136.65681,5.5356097,-67.89453,340.89255,-12.318442,-36.49945,348.74127,2.779845,-66.45872,361.39706,-9.979975,-41.188705,371.9553,11.323601,-70.56713,368.91104,-10.243016,-36.96645,384.44376
663,pushups_down,-3.1427543,-15.859342,-276.93512,-2.9293067,-36.97508,-281.0785,0.23534554,-38.85843,-281.07614,3.3636231,-40.699146,-281.14087,-12.722474,-33.48443,-279.97586,-15.728047,-32.996914,-280.03586,-18.72378,-32.449722,-280.0414,9.879628,-48.422424,-251.16475,-22.482643,-36.046932,-246.26462,-0.9000164,-16.27642,-260.8773,-10.374553,-12.403501,-259.36688,28.578335,-41.337822,-198.68788,-36.357517,-25.439617,-191.4903,55.916267,-27.91266,-160.79337,-83.83559,-21.163542,-155.96742,66.49932,35.60234,-147.81354,-75.97429,46.475567,-148.1909,77.32603,40.62156,-151.79001,-84.67309,53.20213,-153.90005,68.2798,44.319763,-161.98015,-75.30112,52.210133,-160.66554,62.98149,44.884583,-150.57143,-70.591644,51.095505,-150.04399,17.130398,-3.6538906,-4.0350356,-17.130398,3.6538906,4.0350356,-0.28451005,-7.984475,122.104004,-22.978039,-20.118614,134.30609,-19.212889,-25.775686,260.78326,-35.153534,-29.569107,260.90637,-23.90872,-29.032507,275.69443,-35.235806,-31.433136,274.4558,-24.609259,-18.214708,269.08194,-36.913334,-23.614384,266.03278
664,pushups_down,-14.67581,-16.105694,-127.32985,-12.266841,-22.459503,-133.79547,-10.22258,-24.16225,-133.78699,-8.234878,-26.253275,-133.79236,-17.38022,-21.060839,-132.33401,-18.967602,-22.534222,-132.35571,-20.052525,-23.516945,-132.35121,-3.6155288,-41.714497,-124.00407,-24.806408,-28.465738,-117.46782,-10.988945,-16.073084,-119.92092,-15.931938,-14.979002,-118.13062,9.912059,-48.94124,-94.953064,-33.406403,-27.531094,-88.83832,33.012814,-43.52671,-106.71995,-46.976467,-3.6389134,-109.96471,33.06707,-3.3775456,-141.3165,-51.366585,26.415848,-160.84421,36.514107,2.5087256,-148.81065,-55.404957,37.28287,-168.13011,30.314371,6.3124127,-150.84506,-51.666824,33.79039,-172.43445,27.46502,4.7230334,-141.78967,-47.452023,30.819107,-163.19359,11.505837,-4.3890986,2.1332963,-11.505825,4.3890867,-2.1332963,38.679707,-14.057064,-8.940068,-30.07323,-0.83787453,14.136739,30.066973,8.641016,20.895414,-37.191677,21.830532,35.98329,25.456488,9.254782,24.809921,-36.239697,25.202906,39.010826,34.132812,27.74548,19.939964,-40.385757,35.83468,38.94622
665,pushups_down,-54.84854,17.257587,8.571152,-56.363976,13.384654,2.998241,-56.129246,12.972514,2.9813693,-55.871784,12.528885,2.9716945,-56.55521,13.245511,10.587135,-56.452824,12.707419,10.580407,-56.315887,12.10363,10.55897,-52.882915,8.704289,-10.908183,-53.225075,7.674364,22.287956,-51.655632,17.893864,4.416197,-51.825832,17.89452,14.112173,-41.814487,8.182404,-28.376314,-38.1076,-4.652601,43.000584,-24.932102,2.467511,-51.369755,-23.188179,-14.632982,70.59441,-26.842897,34.556297,-69.13062,-23.807224,5.3133373,91.498726,-31.248638,38.053425,-75.498924,-27.284039,5.5877366,97.3776,-32.551735,36.00315,-69.76583,-27.516504,6.9355636,92.74321,-31.268368,34.42079,-66.738625,-26.55449,9.102669,90.137924,0.048688386,4.187983,-21.70262,-0.048688386,-4.1879888,21.70262,28.793236,7.7364283,-22.966604,28.8199,3.7873085,17.193188,58.326363,8.112013,-22.965065,56.17895,4.8727345,17.422897,64.56382,1.975875,-23.128254,62.72761,-0.7004477,16.425251,58.024223,23.469416,-35.537697,56.793797,20.657747,4.6582646
666,pushups_down,-44.16538,48.341175,-75.981285,-45.65358,48.48089,-82.84827,-44.821453,48.31693,-82.86585,-44.63338,48.38308,-82.898315,-46.928753,46.727795,-79.15583,-49.02257,42.025238,-79.165146,-49.43802,41.532784,-79.17789,-43.05897,43.059586,-91.08011,-48.092182,35.399593,-75.91903,-40.02872,47.710022,-76.330414,-43.434456,43.737377,-71.96206,-21.128447,34.454433,-88.40333,-41.512535,15.306089,-47.87619,3.4720078,22.598085,-69.186195,-36.299538,-0.6285822,-6.1017914,10.804905,43.67013,-41.0835,-40.574276,24.51848,33.981346,11.942746,49.568794,-45.50371,-43.236454,28.928682,36.595665,8.401703,50.1553,-46.753525,-41.46616,31.944115,33.958584,7.4122915,48.21571,-40.780224,-39.722885,30.39146,33.768425,6.725005,1.3388844,-12.689978,-6.725012,-1.3388706,12.689978,23.96542,1.7043257,54.30187,-1.6207993,4.59065,86.71157,39.20892,-7.9780645,125.88499,5.9693823,-0.16806526,164.51472,40.825066,-12.43973,134.0274,8.001874,-4.18127,173.29982,41.048195,9.198939,132.45865,5.4900775,12.791693,181.48232
667,pushups_down,-47.449463,54.9323,-94.46856,-48.41782,52.92133,-104.60646,-47.447006,52.289993,-104.61612,-47.017704,51.9402,-104.66558,-50.00617,52.50794,-100.14322,-52.904804,46.28648,-100.14688,-53.40871,46.038185,-100.161194,-44.42153,44.51692,-121.30197,-51.57259,38.350567,-102.12434,-43.15196,53.183502,-96.94123,-45.680595,47.61225,-91.430664,-18.579609,31.318321,-116.30667,-45.978268,15.928676,-76.300026,11.359663,2.252738,-92.613945,-44.767193,-1.6290582,-32.559177,14.423071,47.039967,-70.118126,-55.75921,23.218403,1.0512073,16.426432,53.263474,-79.635796,-59.81105,27.20643,-1.814073,11.812501,54.030792,-83.08341,-56.847363,30.592934,-6.775517,10.659965,51.92103,-71.41597,-54.358746,28.885355,-0.4213857,8.163886,0.77403426,-12.401236,-8.163886,-0.77404964,12.401236,27.02195,1.7666297,81.01052,-12.41957,14.1773,111.035095,43.237625,-8.928125,189.57455,-8.211244,6.359379,217.62906,44.29801,-15.44777,201.81282,-5.91155,-0.106941685,229.24791,46.00979,11.11698,195.46773,-11.425122,22.077168,232.40573
668,pushups_down,-43.761543,52.376907,-128.93187,-48.26172,56.460464,-136.25345,-47.803032,55.243366,-136.24478,-47.32788,54.57322,-136.29626,-50.7545,56.6995,-130.49945,-51.428776,56.063194,-130.5153,-51.928223,55.54015,-130.53319,-45.707558,45.83852,-143.26645,-51.123547,47.366272,-118.78357,-41.292953,52.721012,-128.02676,-41.95723,49.15422,-121.10547,-22.065987,26.424206,-139.8392,-47.365795,13.315277,-79.867226,11.56243,10.585535,-133.6825,-44.102135,-7.151087,-21.590698,23.700888,44.34588,-117.50779,-50.4527,17.11835,31.551325,24.792294,52.292698,-127.93635,-55.479248,21.61618,35.800766,20.700588,52.939785,-127.48375,-52.727104,26.158497,30.84826,19.603052,50.2619,-117.01101,-49.478558,24.66093,30.65816,5.234198,3.1362758,-22.845165,-5.2341886,-3.1362758,22.845165,38.705788,-10.485082,59.136475,19.109995,-12.458244,99.45028,58.640884,-23.754042,138.29248,42.955322,-25.425383,186.85257,60.446995,-31.519735,146.43605,46.997005,-32.29011,196.61966,63.27984,-5.1284575,133.30904,48.294,-7.1458826,190.89667
